difficulty,length,name,platform,rating,sales,type1,type2
3.79,80.0,Monster Hunter: World - Iceborne Master Edition,ps4,4.32,100,role-playing,None
2.86,11.14,Assassin's Creed IV: Black Flag - Freedom Cry,ps4,3.54,200,action,adventure
3.04,18.63,Knack,ps4,3.22,500,action,adventure
1.53,11.71,Game of Thrones: A Telltale Games Series,ps4,3.43,200,adventure,None
2.8,38.99,Assassin's Creed Syndicate,ps4,3.75,500,action,adventure
3.11,10.17,Strider,ps4,3.57,200,action,adventure
3.85,23.41,The Evil Within,ps4,3.77,1000,action,adventure
4.09,48.52,Hollow Knight,ps4,4.01,100,action,None
4.47,17.51,Super Meat Boy,ps4,3.62,100,action,None
3.29,36.36,Tropico 5,ps4,3.55,100,strategy,None
3.39,19.3,Tetris Effect,ps4,4.09,100,puzzle,None
3.09,17.11,Metro: 2033 Redux,ps4,3.75,100,action,None
3.12,76.56,Borderlands: The Handsome Collection,ps4,4.23,500,miscellaneous,None
3.03,53.93,NieR: Automata,ps4,4.38,1000,role-playing,None
3.05,18.56,Fighting EX Layer,ps4,3.05,100,action,None
2.92,44.0,Plants vs Zombies: Garden Warfare,ps4,3.8,200,action,None
2.95,34.63,Need for Speed,ps4,3.4,200,racing,None
2.47,13.86,Heavy Rain,ps4,3.59,200,adventure,None
2.12,19.97,Goat Simulator,ps4,3.14,100,simulation,None
2.94,7.88,Octodad: Dadliest Catch,ps4,3.6,100,adventure,None
3.14,55.89,Dead or Alive 5 Last Round,ps4,4.1,500,action,None
3.54,14.58,Streets of Rage 4,ps4,4.02,200,action,None
2.92,10.93,Apotheon,ps4,3.35,100,action,None
3.64,43.97,Mega Man Legacy Collection 2,ps4,4.28,100,miscellaneous,None
3.9,49.84,Devil May Cry HD Collection,ps4,4.06,100,miscellaneous,None
1.63,15.46,The Walking Dead: A Telltale Games Series - The Complete First Season,ps4,4.28,200,adventure,None
3.21,55.84,Gundam Versus,ps4,3.78,100,simulation,None
3.29,33.64,Ys Origin,ps4,3.87,100,role-playing,None
4.01,72.8,Dark Souls II: Scholar of the First Sin,ps4,4.14,1000,role-playing,None
2.96,80.0,Kingdoms of Amalur: Re-Reckoning,ps4,3.91,100,role-playing,None
3.34,27.99,Lords of the Fallen,ps4,3.27,500,role-playing,None
3.06,80.0,Persona 5,ps4,4.54,1000,role-playing,None
4.04,70.93,Let It Die,ps4,3.82,200,role-playing,None
2.96,65.63,Samurai Warriors 4 Empires,ps4,3.95,100,action,None
2.29,18.6,One Piece: Burning Blood,ps4,2.7,200,action,None
3.76,21.06,Bound by Flame,ps4,3.11,200,role-playing,None
2.78,68.39,Final Fantasy XV,ps4,3.79,1000,role-playing,None
3.13,45.94,Uncharted: The Nathan Drake Collection,ps4,4.22,1000,miscellaneous,None
3.13,15.56,Uncharted 2: Among Thieves Remastered,ps4,3.95,100,action,adventure
3.96,51.42,Helldivers,ps4,3.83,200,action,None
3.05,47.57,Middle-earth: Shadow of War,ps4,3.69,200,action,adventure
2.73,51.34,Okami HD,ps4,4.24,200,action,adventure
2.92,36.36,Watch Dogs,ps4,3.58,1000,action,adventure
4.17,67.78,Enter the Gungeon,ps4,3.88,100,action,None
