difficulty,length,name,rating,type1,type2,sales
3.06,30.76,Red Faction: Guerrilla,3.89,action,None,500
2.5,65.13,The Sims 3: Pets,3.89,simulation,None,100
2.96,54.89,Final Fantasy XIII-2,3.88,role-playing,None,1000
3.47,42.67,Dungeon Defenders,3.88,role-playing,None,200
3.24,53.26,Yu-Gi-Oh! Millennium Duels,3.88,strategy,None,100
3.35,20.89,The Chronicles of Riddick: Assault on Dark Athena,3.88,action,None,200
2.81,21.67,Sonic &amp; Sega All-Stars Racing with Banjo-Kazooie,3.88,racing,None,200
2.85,45.27,NBA 2K10,3.88,sports,None,100
2.5,31.61,LEGO Batman 3: Beyond Gotham,3.92,action,adventure,100
3.03,30.69,Titanfall,3.92,action,None,100
3.02,19.33,Transformers: War for Cybertron,3.91,action,None,200
3.25,11.53,Super Puzzle Fighter II Turbo HD Remix,3.91,puzzle,None,100
3.29,29.36,Guitar Hero: Warriors of Rock,3.91,action,None,200
3.51,56.56,F1 2010,3.91,racing,None,100
3.32,14.23,Child of Eden,3.91,action,None,100
2.88,39.68,Naruto Shippuden: Ultimate Ninja Storm Revolution,3.91,action,None,100
2.66,55.28,Viva Pinata: Trouble in Paradise,3.91,simulation,None,200
2.84,32.28,WWE '13,3.91,sports,None,200
2.89,42.74,NBA 2K8,3.91,sports,None,100
3.16,66.67,Star Ocean: The Last Hope,3.91,role-playing,None,1000
3.28,23.65,Tom Clancy's Splinter Cell: Blacklist,3.91,action,adventure,200
3.75,26.64,Dead or Alive 4,3.77,action,None,1000
3.28,28.6,Blur,3.77,racing,None,200
2.96,37.62,WWE 2K14,3.77,sports,None,200
2.95,22.28,Dragon Ball: Raging Blast,3.76,action,None,200
2.57,45.68,Viva Pinata,3.76,simulation,None,500
3.14,62.74,Final Fantasy XIII,3.76,role-playing,None,1000
2.88,59.78,Blue Dragon,3.76,role-playing,None,1000
2.67,39.61,NCAA Football 11,3.76,sports,None,100
2.97,20.38,Overlord II,3.76,action,adventure,200
2.68,23.75,Tiger Woods PGA Tour 09,3.76,sports,None,100
3.31,14.09,From Dust,3.76,strategy,None,100
3.39,22.46,Tom Clancy's Rainbow Six Vegas,3.76,action,None,500
3.5,75.4,World of Tanks: Xbox 360 Edition,3.71,simulation,None,100
3.06,21.11,Dead Space 3,3.71,action,adventure,500
3.1,22.93,Charlie Murder,3.71,action,None,100
2.93,17.4,Bulletstorm,3.71,action,None,500
3.9,11.78,Ultimate Mortal Kombat 3,3.7,action,None,100
3.33,17.82,Tom Clancy's Splinter Cell Double Agent,3.7,action,adventure,500
3.09,20.44,1 vs. 100,3.7,miscellaneous,None,100
2.95,18.38,Driver: San Francisco,3.82,racing,None,100
3.07,24.55,Batman: Arkham Origins,3.82,action,adventure,500
3.03,10.22,ilomilo,3.82,puzzle,None,100
3.18,14.98,Condemned: Criminal Origins,3.81,action,adventure,500
3.71,22.59,Lumines Live!,3.81,puzzle,None,100
3.27,27.41,Split/Second,3.81,racing,None,200
2.98,16.22,Star Wars: The Force Unleashed,3.81,action,adventure,1000
3.15,38.8,Project Gotham Racing 4,3.81,racing,None,500
3.07,23.44,Beautiful Katamari,3.81,puzzle,None,500
3.13,31.54,DiRT,3.88,racing,None,200
3.13,40.44,Battlefield 1943,3.88,action,None,200
3.33,16.12,Toy Soldiers,3.87,strategy,None,100
3.8,7.76,Akai Katana,3.87,action,None,100
3.03,33.79,The Godfather,3.87,action,adventure,200
2.95,12.2,SoulCalibur,3.87,action,None,100
3.07,6.33,Pac-Man,3.87,action,None,100
2.78,30.15,Rise of the Tomb Raider,3.91,action,adventure,100
3.27,41.98,Midnight Club: Los Angeles,3.9,racing,None,500
3.02,37.7,Burnout Paradise,3.9,racing,None,1000
3.24,8.19,Teenage Mutant Ninja Turtles: 1989 Classic Arcade,3.76,action,None,200
3.18,28.69,Need for Speed: Hot Pursuit,3.76,racing,None,200
3.49,22.88,Defense Grid: The Awakening,3.76,strategy,None,100
3.15,18.69,Tom Clancy's Ghost Recon: Future Soldier,3.75,action,None,200
2.75,35.68,Dynasty Warriors 6,3.7,action,None,500
3.16,23.34,Magic: The Gathering - Duels of the Planeswalkers 2013,3.7,strategy,None,100
3.12,16.71,Dante's Inferno,3.7,action,adventure,500
3.81,20.48,The Evil Within,3.81,action,adventure,100
3.13,17.58,Crysis 2,3.81,action,None,500
2.95,39.24,Warriors Orochi,3.8,action,None,100
3.0,9.19,Penny Arcade Adventures: Episode One,3.87,adventure,None,100
2.22,11.4,Costume Quest,3.87,role-playing,None,100
2.82,46.3,Forza Horizon 2,3.87,racing,None,100
3.18,19.28,Call of Duty 2,3.86,action,None,1000
2.88,27.02,Assassin's Creed: Revelations,3.9,action,adventure,1000
2.55,49.82,NCAA Football 10,3.9,sports,None,100
3.37,16.75,Fez,3.9,action,None,200
3.16,27.14,Dead Rising 2,3.9,action,adventure,1000
2.82,29.78,Assassin's Creed Rogue,3.9,action,adventure,200
3.57,46.27,Earth Defense Force 2017,3.75,action,None,200
3.05,17.15,The Darkness,3.75,action,None,500
3.74,65.88,The Last Remnant,3.69,role-playing,None,1000
2.74,34.62,Dynasty Warriors 5 Empires,3.69,action,None,200
3.25,17.85,Sniper Elite V2,3.69,action,None,200
3.93,13.61,Mortal Kombat Arcade Kollection,3.69,miscellaneous,None,100
2.92,12.68,The Darkness II,3.8,action,None,200
3.01,9.09,Dead Rising 2: Case West,3.8,action,adventure,200
2.29,26.23,LEGO Star Wars II: The Original Trilogy,3.8,action,adventure,200
2.93,22.48,Spider-Man: Web of Shadows,3.86,action,adventure,200
3.3,25.23,Castlevania: Lords of Shadow,3.86,action,adventure,500
3.3,14.16,Mirror's Edge,3.86,action,adventure,1000
3.6,32.69,Dead Rising,3.86,action,adventure,1000
3.18,26.68,Battlefield 3,3.9,action,None,1000
3.16,34.63,Skate,3.89,sports,None,500
3.29,30.99,Tekken 6,3.89,action,None,500
3.16,24.03,Prototype,3.89,action,adventure,1000
3.07,23.31,Alice: Madness Returns,3.89,action,adventure,500
3.06,23.57,Darksiders,3.89,action,adventure,1000
2.81,46.31,FIFA Soccer 11,3.89,sports,None,200
4.07,25.41,N+,3.89,action,None,200
3.01,33.16,The Saboteur,3.89,action,adventure,200
2.37,26.76,LEGO Harry Potter: Years 5-7,3.89,action,adventure,200
3.31,30.08,Way of the Samurai 3,3.89,action,adventure,100
2.08,17.62,A Kingdom for Keflings,3.75,strategy,None,200
3.14,71.6,Grand Theft Auto Online,3.75,action,adventure,500
3.09,18.88,Tomb Raider: Anniversary,3.75,action,adventure,200
3.29,33.85,Dead Island,3.75,action,adventure,1000
2.92,19.68,Green Day: Rock Band,3.75,action,None,100
3.15,16.22,"Warhammer 40,000: Space Marine",3.75,action,None,200
3.12,45.29,Fist of the North Star: Ken's Rage,3.75,action,None,100
3.15,17.65,Iron Brigade,3.75,strategy,None,100
2.9,35.01,NCAA Football 12,3.75,sports,None,100
2.93,30.39,Mercenaries 2: World in Flames,3.75,action,adventure,500
3.15,32.57,Lost Planet 2,3.69,action,None,500
3.08,53.5,NBA 2K14,3.69,sports,None,100
3.12,18.98,DJ Hero,3.69,action,None,200
2.85,7.97,X-Men: The Arcade Game,3.69,action,None,100
3.26,16.62,Crazy Taxi,3.69,racing,None,100
2.96,32.37,WWE '12,3.69,sports,None,200
2.39,23.02,Disney/Pixar Toy Story 3,3.69,action,None,100
2.71,20.61,The Godfather II,3.69,action,adventure,200
2.91,26.2,Overlord,3.68,action,adventure,500
2.93,34.75,Assassin's Creed III,3.8,action,adventure,1000
3.44,11.62,Double Dragon: Neon,3.8,action,None,100
2.95,25.9,Guitar Hero World Tour,3.8,action,None,1000
3.16,19.78,DJ Hero 2,3.86,action,None,100
3.26,57.56,Lightning Returns: Final Fantasy XIII,3.89,role-playing,None,200
3.45,23.89,Marble Blast Ultra,3.89,action,None,100
3.14,23.38,Worms 2: Armageddon,3.89,strategy,None,100
2.66,18.33,Prince of Persia,3.75,action,adventure,500
3.21,11.16,Metal Gear Solid V: Ground Zeroes,3.74,action,adventure,200
2.92,7.0,Dead Rising 2: Case Zero,3.74,action,adventure,500
2.34,17.0,Uno,3.74,miscellaneous,None,200
3.0,33.52,Saints Row,3.74,action,adventure,1000
3.59,77.94,Record of Agarest War,3.73,strategy,None,200
3.65,57.6,Payday 2,3.73,action,None,100
3.07,37.24,Gotham City Impostors,3.73,action,None,100
2.71,12.78,Asura's Wrath,3.73,action,adventure,200
3.06,21.95,Guitar Hero: Smash Hits,3.73,action,None,200
3.14,11.71,Worms,3.68,strategy,None,200
